"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SEL1L",0.218837593869137,0.192766227799434,0.269,0.261,1
"GNL3",0.0354745585883973,-0.192693622280783,0.248,0.305,1
"AHSA1",0.0796327442173244,-0.192685770642764,0.31,0.367,1
"ATP11B",0.0956034614052965,0.192478500632702,0.421,0.401,1
"ORC4",0.0910348033260342,-0.192460646725399,0.178,0.216,1
"TLE5",0.0110300017672512,0.192151757602109,0.745,0.725,1
"PACSIN2",0.545916259441601,0.192006706930413,0.17,0.164,1
"BRI3",0.035806835383124,-0.191931309870282,0.318,0.381,1
"SNHG7",0.145190408142652,-0.191870172859699,0.264,0.305,1
"MCMBP",0.499690420317323,0.191852354544824,0.19,0.182,1
"CCDC174",0.127722344711061,-0.191797223732739,0.234,0.277,1
"TBL1X",0.0401300971280085,-0.191794071171994,0.23,0.283,1
"TOPBP1",0.527168314893671,0.191702373619282,0.204,0.198,1
"ANXA2",0.013303282848986,-0.191405616906925,0.731,0.784,1
"MBD1",0.621681473396893,0.191379676484464,0.193,0.19,1
"DNAJC5",0.361075789853653,0.191327300544,0.226,0.212,1
"ZNF160",0.777468092464922,0.191265755392561,0.116,0.114,1
"SYNJ1",0.83840189112157,0.191099112701505,0.167,0.17,1
"ATXN3",0.0489124178252137,-0.190959886125904,0.142,0.184,1
"LTV1",0.401303542812371,0.190920184254883,0.101,0.088,1
"FBXL14",0.670015796609362,0.190897774507559,0.146,0.142,1
"FAM76B",0.206197642724084,-0.190816488984715,0.138,0.164,1
"NUDT21",0.268166685634071,0.19080960973787,0.312,0.303,1
"TAF11",0.381770689791157,0.190747109277684,0.155,0.14,1
"MRPL4",0.458921027970196,0.19045030879693,0.21,0.206,1
"STRBP",0.170968439747053,-0.19039543209023,0.121,0.146,1
"ATXN10",0.578903610525265,0.190388358767167,0.223,0.222,1
"ATP9B",0.0675782290694788,-0.190374520302957,0.298,0.349,1
"GAK",0.735650651401799,0.190311436070021,0.223,0.228,1
"RNF5",0.0893709653285498,-0.190203191761137,0.254,0.303,1
"NDUFAF2",0.611930096045761,0.190143589081733,0.136,0.13,1
"PTDSS1",0.189154242770678,-0.190081202938052,0.163,0.192,1
"IMPA1",0.781070385778803,0.190075429309356,0.119,0.118,1
"GCLM",0.0307833878798028,-0.190024453819613,0.358,0.427,1
"SRRT",0.0781797692322724,-0.189937551356133,0.468,0.519,1
"SAMD3",0.000747104612230741,0.189859709042805,0.664,0.581,1
"MAP2K7",0.102792983387191,-0.189841175225735,0.136,0.168,1
"DELE1",0.0945336159619507,-0.18984070956123,0.087,0.114,1
"DDB1",0.0146354909424099,-0.18980610893247,0.345,0.419,1
"FBXL17",0.66701743350996,0.189672816213663,0.184,0.182,1
"CNOT2",0.0952443722533876,0.189656565153078,0.503,0.495,1
"UBA1",0.0828948834934942,-0.189333654347565,0.258,0.307,1
"BTN3A3",0.493720178151537,0.189245065000854,0.226,0.22,1
"SART1",0.356822789788993,0.189164274252792,0.186,0.172,1
"KAT6B",0.0357981080563105,-0.189093162920954,0.231,0.283,1
"DCAF11",0.879425728872324,0.189091107037692,0.15,0.16,1
"ORMDL1",0.19259766515338,0.18886738243107,0.364,0.349,1
"MARCHF8",0.579913584680376,-0.188855262166644,0.099,0.108,1
"FEZ1",0.174530456663791,0.188832826953814,0.103,0.082,1
"RAD23B",0.0913191842265656,-0.188755689685195,0.374,0.431,1
"WDR47",0.239912486384044,0.188688303685474,0.202,0.182,1
"BCLAF1",0.0244428194690683,0.188644010957434,0.516,0.483,1
"YTHDF3",0.288483901158832,-0.188548051107589,0.181,0.204,1
"PTPN18",0.878104330316821,0.188527738029764,0.103,0.11,1
"ARRDC1",0.224234955060832,-0.188516883695782,0.148,0.172,1
"NAAA",0.169738684870727,-0.188403052782627,0.08,0.1,1
"H1-10",0.224169294046682,-0.18838068231532,0.333,0.369,1
"ANAPC13",0.0965171265680827,-0.188367691774822,0.084,0.11,1
"MLF2",0.134273992714281,0.188366860873127,0.349,0.339,1
"ATL2",0.960022076392746,0.188324861937448,0.118,0.12,1
"ZSWIM6",0.170784943111395,0.18826208287873,0.549,0.555,1
"CARS1",0.581783559401235,0.188185526437449,0.211,0.21,1
"NSRP1",0.649673526297922,0.18817784790791,0.202,0.196,1
"BRD1",0.0827525774195652,0.188143712562372,0.382,0.359,1
"TDG",0.548785594924307,0.187956995147873,0.181,0.174,1
"PIAS2",0.167768908244922,-0.187949244295639,0.093,0.116,1
"HAGH",0.218809353198805,-0.187935627298143,0.15,0.176,1
"POLR2E",0.204409659450317,0.187852333665537,0.396,0.381,1
"HNRNPLL",0.0134242660424428,-0.18775751373526,0.603,0.655,1
"ATXN7L3B",0.166577277736007,-0.187709418720746,0.155,0.184,1
"BBS9",0.699889385136434,0.187678790051285,0.138,0.134,1
"ABR",0.347885711400032,-0.187616406183396,0.147,0.166,1
"DDX18",0.0573147533576831,0.187586619999835,0.441,0.415,1
"ARCN1",0.0484453192374584,-0.187520536853228,0.289,0.355,1
"RUNX3",0.0012286458319355,0.18747027522212,0.848,0.834,1
"UAP1",0.387792515308125,0.187439506104383,0.224,0.21,1
"SYS1",0.902404651495636,0.18743071962775,0.17,0.176,1
"SNHG32",0.0608522392252942,-0.187414439208439,0.245,0.293,1
"GLRX5",0.328248095167181,0.187392435897059,0.298,0.299,1
"ISYNA1",0.230221074098346,-0.187384123909631,0.091,0.11,1
"TCF20",0.260290502409948,-0.187235441103224,0.108,0.128,1
"FKBP15",0.736854677273051,0.187209366065389,0.116,0.112,1
"CYB5R3",0.0198370070001498,-0.187098964065251,0.278,0.345,1
"SCRN2",0.159014665023231,-0.187094317113568,0.087,0.11,1
"EXOC8",0.508723009109284,0.18707275607869,0.115,0.108,1
"MRPL57",0.0978467587016569,-0.187057335568563,0.384,0.439,1
"EBNA1BP2",0.616696117573507,0.187003506643798,0.14,0.136,1
"OGFOD1",0.926874566322524,0.186791236712258,0.156,0.164,1
"RAPGEF1",0.306116497822096,0.186506211599389,0.349,0.345,1
"TBC1D5",0.313763795367614,-0.186309554522788,0.173,0.194,1
"ESF1",0.21525530627061,-0.186223940509817,0.156,0.18,1
"SLC25A26",0.0397780920719594,-0.186212735361796,0.239,0.295,1
"TOR1B",0.496026732112311,0.186194760677177,0.133,0.124,1
"TOGARAM1",0.141426067749437,-0.186089439594401,0.142,0.172,1
"LETM1",0.56846000281242,0.186068481689486,0.131,0.124,1
"RRAGC",0.0327185685068902,-0.18603924324293,0.175,0.224,1
"CNIH2",0.173395464168248,-0.185969221158018,0.137,0.162,1
"RNF166",0.156437156879463,0.185654042838962,0.445,0.443,1
"ATRN",0.101686483396765,-0.185579150966831,0.086,0.112,1
"GBP4",0.302241578044742,0.185562701439053,0.283,0.273,1
"RASA2",0.0765648180758775,0.185526572497153,0.489,0.469,1
"ZMYM4",0.0742248169770209,-0.185465475508782,0.115,0.148,1
"STK39",0.362028663360081,0.185429749886459,0.227,0.216,1
"DCAF6",0.0918520550039935,-0.185402177100954,0.137,0.17,1
"STX6",0.19581056098701,-0.18538324903371,0.111,0.134,1
"SDHAP1",0.0918439993843107,-0.185363250513204,0.198,0.238,1
"GAB2",0.750848769209228,0.185259142475169,0.127,0.138,1
"IARS1",0.0508712098252584,-0.185130438263127,0.173,0.218,1
"PFDN4",0.115204612801272,-0.185063557555609,0.171,0.206,1
"TMEM109",0.745474445911709,0.184899132679025,0.201,0.204,1
"SP110",0.148112548952024,0.184796182971562,0.35,0.333,1
"DYNC2I1",0.587059909324566,0.184784348490802,0.135,0.13,1
"NCBP2AS2",0.467840986399965,0.18474816106796,0.181,0.17,1
"TRAK2",0.217816903304502,-0.184677849772335,0.182,0.212,1
"LLGL2",0.52929672943678,0.18455531521583,0.151,0.144,1
"OSBPL9",0.342173718754154,0.184509047476424,0.24,0.232,1
"PIN1",0.145785351835691,-0.184507603854174,0.215,0.253,1
"GCHFR",0.317846124035381,-0.18446252118985,0.242,0.267,1
"SPTLC2",0.199827722679899,0.184399994335942,0.21,0.188,1
"ODC1",0.111827719083324,-0.184302852460698,0.517,0.555,1
"PHPT1",0.143422214158534,-0.18427840484189,0.105,0.13,1
"ING5",0.272604675848394,-0.184265743445548,0.083,0.1,1
"ATP5MC3",0.0303272907582764,-0.184195555583317,0.649,0.695,1
"RRP12",0.282579730930734,-0.184127160593953,0.115,0.136,1
"TMEM147",0.711807364441799,0.184107046589323,0.168,0.166,1
"TRAPPC10",0.198759490124873,0.184055705422579,0.518,0.525,1
"LYST",0.0122150503333505,-0.184002717153964,0.727,0.776,1
"GPATCH11",0.463559038719652,0.183918302598506,0.113,0.104,1
"MICOS13",0.160009536713091,0.183840524456229,0.283,0.257,1
"DYM",0.316063411826904,0.183722692069601,0.337,0.339,1
"RCHY1",0.0737487061591786,-0.183700147494971,0.16,0.2,1
"PPP3R1",0.414165403928085,0.183672684055796,0.343,0.341,1
"UFD1",0.451113615004102,0.183515586494896,0.29,0.293,1
"SNRPA",0.418672247014923,0.183306225189278,0.192,0.178,1
"GMDS",0.0793920533330552,-0.183306195806354,0.231,0.275,1
"PPP2R1A",0.0267449904217534,-0.183267887518387,0.469,0.541,1
"GTF3C1",0.599936592333946,0.183254531658071,0.319,0.329,1
"FBXL20",0.10607307614963,-0.183192462270317,0.237,0.281,1
"TMEM134",0.475639443021112,0.183162643079756,0.119,0.11,1
"AVL9",0.729690735341883,0.183120915624745,0.154,0.154,1
"SSH1",0.728922833844215,0.18299364682488,0.195,0.198,1
"TSC22D1",0.184777385812306,-0.182986008319302,0.133,0.158,1
"TARS1",0.387564598487084,0.182853185717772,0.235,0.226,1
"USP22",0.552584538372159,0.182834619204352,0.286,0.289,1
