"gene","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"SNED1-AS1","OK",0,86.4368410694142,0.163814935275915,"SNED1-AS1",0
"PASK","OK",0,67.41204496012,0.127794920532797,"PASK",0
"BHLHE40","OK",0,93.5725531104594,0.177428777974705,"BHLHE40",0
"RPL32","OK",0,220.966977062242,0.41896775910627,"RPL32",0
"OXNAD1","OK",0,56.7824334664257,0.107647073184608,"OXNAD1",0
"SATB1","OK",0,76.5608497967223,0.145160726014646,"SATB1",0
"UBE2E2","OK",0,81.9105333343607,0.155238098522708,"UBE2E2",0
"RPL15","OK",0,45.1115652685587,0.0854794120681539,"RPL15",0
"EOMES","OK",0,83.3251329370141,0.157988517946299,"EOMES",0
"CMC1","OK",0,161.594779367442,0.306433836534308,"CMC1",0
"CMTM8","OK",0,71.2583179941017,0.135062667456813,"CMTM8",0
"CCR4","OK",0,271.556149134993,0.514687366440533,"CCR4",0
"CSRNP1","OK",0,45.259949676348,0.0857990085842953,"CSRNP1",0
"CX3CR1","OK",0,73.4840271203864,0.1393036830575,"CX3CR1",0
"CCR8","OK",0,79.2438597119777,0.149758159368581,"CCR8",0
"RPSA","OK",0,71.5186732385657,0.135559271932972,"RPSA",0
"RPL14","OK",0,101.392897630379,0.192195874406704,"RPL14",0
"CCR9","OK",0,46.900644236708,0.0881469996510919,"CCR9",0
"CXCR6","OK",0,101.415380637226,0.192236788114964,"CXCR6",0
"RPL29","OK",0,103.123435533905,0.195460325089881,"RPL29",0
"FHIT","OK",0,70.8459081789298,0.134281720763554,"FHIT",0
"FOXP1","OK",0,111.190852734889,0.210843454153049,"FOXP1",0
"PROK2","OK",0,76.3350210438007,0.144698890070599,"PROK2",0
"CMSS1","OK",0,141.005466386007,0.267387947090394,"CMSS1",0
"FILIP1L","OK",0,76.3019306679741,0.144665030844881,"FILIP1L",0
"RPL24","OK",0,57.8929383179229,0.10972054115124,"RPL24",0
"NFKBIZ","OK",0,41.4046209423776,0.0784840825996923,"NFKBIZ",0
"CBLB","OK",0,38.7442788761344,0.0734405950403854,"CBLB",0
"TRAT1","OK",0,95.6217289246147,0.181313921964629,"TRAT1",0
"NAA50","OK",0,48.4680244165706,0.0918834893906329,"NAA50",0
"TIGIT","OK",0,87.0590302187245,0.16507127241753,"TIGIT",0
"ZBTB38","OK",0,46.1788244506081,0.0875400615735704,"ZBTB38",0
"TFDP2","OK",0,43.0175468830454,0.0815426272681386,"TFDP2",0
"GK5","OK",0,41.5478503958332,0.0787508319661407,"GK5",0
"GYG1","OK",0,47.8267622925394,0.0906645335502212,"GYG1",0
"GPR171","OK",0,38.5833388916256,0.0731307133064762,"GPR171",0
"GOLIM4","OK",0,65.2700259094695,0.12370944828012,"GOLIM4",0
