"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","direction"
4.37221876820207e-19,-0.501746323949013,0.087,0.069,8.22064572797353e-15,"Memory B","ATP6V0A1","down"
1.54548379710309e-08,-0.499743040822725,0.063,0.066,0.000290581863531323,"Memory B","ATP7A","down"
4.2736387154237e-08,-0.499444962567881,0.089,0.095,0.000803529551273964,"Memory B","CPQ","down"
1.02346443970685e-14,-0.49915696572812,0.099,0.101,1.92431783953681e-10,"Memory B","LIN54","down"
1.33326938891771e-22,-0.499055241002608,0.125,0.117,2.50681310504307e-18,"Memory B","FUOM","down"
1.94654962892922e-08,-0.498278351182802,0.041,0.037,0.000365990261231271,"Memory B","WDHD1","down"
3.88414964063576e-11,-0.498049350726973,0.088,0.084,7.30297815432335e-07,"Memory B","MXD1","down"
1.27166342764268e-48,-0.497618121306284,0.552,0.547,2.39098157665376e-44,"Memory B","STX5","down"
2.62085192415548e-40,-0.495972606878719,0.589,0.585,4.92772578779714e-36,"Memory B","PNPLA2","down"
4.55202611966915e-37,-0.495196051406942,0.839,0.9,8.55871951020194e-33,"Memory B","FOXP1","down"
5.60753073070261e-39,-0.495125763151779,0.633,0.626,1.05432792798671e-34,"Memory B","MANBA","down"
7.26210239051692e-39,-0.495102390541994,0.712,0.748,1.36542049146499e-34,"Memory B","ITM2B","down"
2.76534456351023e-45,-0.494349971278196,0.941,0.945,5.19940084831193e-41,"Memory B","UBB","down"
5.92723356349995e-18,-0.493027382718886,0.119,0.113,1.11443845460926e-13,"Memory B","ZNF407-AS1","down"
1.34878283482212e-07,-0.492873274439416,0.027,0.022,0.00253598148603255,"Memory B","SP2-DT","down"
2.39846376033734e-28,-0.492375136275839,0.328,0.318,4.50959156218627e-24,"Memory B","BCL11A","down"
7.05723111644587e-37,-0.492176385978708,0.313,0.304,1.32690059451415e-32,"Memory B","NXF1","down"
2.12134908417308e-15,-0.491978364000932,0.112,0.11,3.98856054806223e-11,"Memory B","BARD1","down"
1.96174489621745e-22,-0.49100059557697,0.228,0.227,3.68847275386805e-18,"Memory B","ARRDC3","down"
2.40078543784282e-37,-0.490360246066584,0.41,0.412,4.51395678023208e-33,"Memory B","TTC7A","down"
1.9894455102316e-27,-0.490282295136374,0.351,0.353,3.74055544833746e-23,"Memory B","NEK1","down"
3.76067122962523e-07,-0.48989080983652,0.059,0.054,0.00707081404594135,"Memory B","PCAT1","down"
4.30080158343847e-37,-0.488977490436909,0.358,0.344,8.08636713718102e-33,"Memory B","SP140L","down"
1.52943513073224e-26,-0.488477409853652,0.217,0.217,2.87564393280275e-22,"Memory B","RABEP2","down"
1.56821795283e-39,-0.488229332302486,0.919,0.936,2.94856339491097e-35,"Memory B","CYTIP","down"
1.10774908049638e-29,-0.487961246000164,0.937,0.935,2.08278982114929e-25,"Memory B","ZFP36L1","down"
1.26747666254378e-43,-0.487689977273126,0.632,0.614,2.38310962091482e-39,"Memory B","LYSMD2","down"
